model,decoding_tps,prefill_tps,run_id,mode,temperature,repeat_penalty,top_p,top_k,min_p,ctx_size,keep,batch_size,ubatch_size,threads,ngl,ctk,ctv,flash_attn,poll_level,use_mmap,split_mode,token_limit,prompt_tokens,gen_tokens,run_tag,log_file
minicpm-3b-openhermes-2.5-v2.Q4_K_M.gguf,32,32,1,CPU,0.4,1.1,1.0,30,0.15,4096,4,128,32,8,0,f16,q8_0,1,30,0,layer,750,512,256,trial1_minicpm-3b-openhermes-2.5-v2.Q4_K_M_modeCPU_T0.4_P1.0_K30_minp0.15_C4096_Bcpu128_thr8_ngl0_pp512_tg256_fa1,hyperparam_bench_random_20251208_112915/trial1_minicpm-3b-openhermes-2.5-v2.Q4_K_M_modeCPU_T0.4_P1.0_K30_minp0.15_C4096_Bcpu128_thr8_ngl0_pp512_tg256_fa1.log
gemma-3n-5b-e2b-bf16_q4_0.gguf,32,32,2,CPU,0.4,1.1,1.0,30,0.15,4096,4,256,32,8,0,f16,q8_0,1,30,0,layer,750,512,512,trial2_gemma-3n-5b-e2b-bf16_q4_0_modeCPU_T0.4_P1.0_K30_minp0.15_C4096_Bcpu256_thr8_ngl0_pp512_tg512_fa1,hyperparam_bench_random_20251208_112915/trial2_gemma-3n-5b-e2b-bf16_q4_0_modeCPU_T0.4_P1.0_K30_minp0.15_C4096_Bcpu256_thr8_ngl0_pp512_tg512_fa1.log
