model,decoding_tps,prefill_tps,run_id,mode,temperature,repeat_penalty,top_p,top_k,min_p,ctx_size,keep,batch_size,ubatch_size,threads,ngl,ctk,ctv,flash_attn,poll_level,use_mmap,split_mode,token_limit,prompt_tokens,gen_tokens,run_tag,log_file
mobilellm-r1.5-950M_q4_0.gguf,64,64,1,CPU,0.4,1.2,1.0,30,0.15,1024,4,256,64,8,0,f16,q8_0,1,30,0,layer,750,512,512,trial1_mobilellm-r1.5-950M_q4_0_modeCPU_T0.4_P1.0_K30_minp0.15_C1024_Bcpu256_thr8_ngl0_pp512_tg512_fa1,hyperparam_bench_random_20251207_214045/trial1_mobilellm-r1.5-950M_q4_0_modeCPU_T0.4_P1.0_K30_minp0.15_C1024_Bcpu256_thr8_ngl0_pp512_tg512_fa1.log
Llama-3.2-1B-Instruct-Q4_0.gguf,32,32,2,CPU,0.4,1.1,1.0,30,0.15,512,4,128,32,8,0,f16,q8_0,1,30,0,layer,750,256,256,trial2_Llama-3.2-1B-Instruct-Q4_0_modeCPU_T0.4_P1.0_K30_minp0.15_C512_Bcpu128_thr8_ngl0_pp256_tg256_fa1,hyperparam_bench_random_20251207_214045/trial2_Llama-3.2-1B-Instruct-Q4_0_modeCPU_T0.4_P1.0_K30_minp0.15_C512_Bcpu128_thr8_ngl0_pp256_tg256_fa1.log
Llama-3.2-1B-Instruct-Q4_0.gguf,256,256,3,CPU,0.4,1.2,1.0,30,0.15,2048,4,128,256,8,0,f16,q8_0,1,30,0,layer,750,1024,1024,trial3_Llama-3.2-1B-Instruct-Q4_0_modeCPU_T0.4_P1.0_K30_minp0.15_C2048_Bcpu128_thr8_ngl0_pp1024_tg1024_fa1,hyperparam_bench_random_20251207_214045/trial3_Llama-3.2-1B-Instruct-Q4_0_modeCPU_T0.4_P1.0_K30_minp0.15_C2048_Bcpu128_thr8_ngl0_pp1024_tg1024_fa1.log
Llama-3.2-1B-Instruct-Q4_0.gguf,128,128,4,CPU,0.4,1.1,1.0,30,0.15,2048,4,128,128,8,0,f16,q8_0,1,30,0,layer,750,512,256,trial4_Llama-3.2-1B-Instruct-Q4_0_modeCPU_T0.4_P1.0_K30_minp0.15_C2048_Bcpu128_thr8_ngl0_pp512_tg256_fa1,hyperparam_bench_random_20251207_214045/trial4_Llama-3.2-1B-Instruct-Q4_0_modeCPU_T0.4_P1.0_K30_minp0.15_C2048_Bcpu128_thr8_ngl0_pp512_tg256_fa1.log
Llama-3.2-1B-Instruct-Q4_0.gguf,256,256,5,CPU,0.4,1.2,1.0,30,0.15,2048,4,128,256,8,0,f16,q8_0,1,30,0,layer,750,512,256,trial5_Llama-3.2-1B-Instruct-Q4_0_modeCPU_T0.4_P1.0_K30_minp0.15_C2048_Bcpu128_thr8_ngl0_pp512_tg256_fa1,hyperparam_bench_random_20251207_214045/trial5_Llama-3.2-1B-Instruct-Q4_0_modeCPU_T0.4_P1.0_K30_minp0.15_C2048_Bcpu128_thr8_ngl0_pp512_tg256_fa1.log
mobilellm-r1.5-950M_q4_0.gguf,256,256,6,CPU,0.4,1.2,1.0,30,0.15,4096,4,256,256,8,0,f16,q8_0,1,30,0,layer,750,1024,512,trial6_mobilellm-r1.5-950M_q4_0_modeCPU_T0.4_P1.0_K30_minp0.15_C4096_Bcpu256_thr8_ngl0_pp1024_tg512_fa1,hyperparam_bench_random_20251207_214045/trial6_mobilellm-r1.5-950M_q4_0_modeCPU_T0.4_P1.0_K30_minp0.15_C4096_Bcpu256_thr8_ngl0_pp1024_tg512_fa1.log
mobilellm-r1.5-950M_q4_0.gguf,256,256,7,CPU,0.4,1.1,1.0,30,0.15,4096,4,256,256,8,0,f16,q8_0,1,30,0,layer,750,512,512,trial7_mobilellm-r1.5-950M_q4_0_modeCPU_T0.4_P1.0_K30_minp0.15_C4096_Bcpu256_thr8_ngl0_pp512_tg512_fa1,hyperparam_bench_random_20251207_214045/trial7_mobilellm-r1.5-950M_q4_0_modeCPU_T0.4_P1.0_K30_minp0.15_C4096_Bcpu256_thr8_ngl0_pp512_tg512_fa1.log
